,Unnamed: 0,dt,order_id,waybill_id,courier_id,da_id,is_courier_grabbed,is_weekend,estimate_arrived_time,is_prebook,poi_id,sender_lng,sender_lat,recipient_lng,recipient_lat,grab_lng,grab_lat,dispatch_time,grab_time,fetch_time,arrive_time,estimate_meal_prepare_time,order_push_time,platform_order_time,platform_order_date,sender_h3,recipient_h3,grab_h3,hex_distance,normalized_distance,hex_id
0,185,20221017,185,185,172,5,1,0,1665990276,0,168,174.55239,45.89285,174.528696,45.925395,174.561367,45.900988,1665986805,1665986818,1665987265,1665989487,1665987397,1665986677,1665986674,2022-10-17 14:04:34,8d329b5889a3b3f,8d329b58b053c7f,8d329b588ca2abf,544,0.2161624203821656,88329b5889fffff
1,186,20221017,186,186,173,5,1,0,1665988935,0,169,174.568225,45.900779,174.587382,45.898273,174.574599,45.899765,1665987225,1665987237,1665987379,1665987915,1665987737,1665986838,1665986831,2022-10-17 14:07:11,8d329b58e37693f,8d329b58ec5eb3f,8d329b58e06127f,207,0.08200636942675159,88329b58e3fffff
2,187,20221017,187,187,174,1,1,0,1665989393,0,170,174.542418,45.919752,174.51982,45.936662,174.543559,45.917289,1665987345,1665987350,1665987569,1665989629,1665986994,1665986996,1665986974,2022-10-17 14:09:34,8d329b58bc287bf,8d329b4a5802dbf,8d329b58bd0db7f,380,0.15087579617834396,88329b58bdfffff
3,188,20221017,188,188,175,7,1,0,1665989500,0,171,174.554321,45.851399,174.55675,45.851116,174.552792,45.851217,1665987711,1665987721,1665988080,1665988508,1665988300,1665987700,1665987352,2022-10-17 14:15:52,8d329b5a861dcbf,8d329b5a86168ff,8d329b5a86082bf,26,0.009952229299363057,88329b5a87fffff
4,189,20221017,189,189,176,0,1,0,1665989510,0,172,174.582024,45.864073,174.572171,45.862248,174.578912,45.863573,1665987856,1665987899,1665988150,1665988700,1665988552,1665987712,1665987683,2022-10-17 14:21:23,8d329b5aa55993f,8d329b5aa0522bf,8d329b5aa095a3f,119,0.046974522292993634,88329b5aa5fffff
5,191,20221017,191,191,178,0,1,0,1665992094,0,174,174.54596,45.87658,174.57234,45.859399,174.54583,45.872492,1665989265,1665989314,1665989819,1665991744,1665988975,1665988975,1665988967,2022-10-17 14:42:47,8d329b58ca44abf,8d329b5aa15863f,8d329b5ab79ec3f,419,0.1664012738853503,88329b58cbfffff
6,192,20221017,192,192,179,0,1,0,1665992139,0,175,174.545439,45.874835,174.55047,45.892971,174.544506,45.873393,1665989445,1665989452,1665990045,1665991075,1665989082,1665989082,1665989070,2022-10-17 14:44:30,8d329b58cb496ff,8d329b5889a987f,8d329b5ab6b5c3f,315,0.125,88329b58cbfffff
7,193,20221017,193,193,180,19,1,0,1665991019,0,176,174.56681,45.8952,174.565886,45.889298,174.552899,45.895758,1665989235,1665989277,1665989710,1665989989,1665989700,1665989220,1665989218,2022-10-17 14:46:58,8d329b58ea708bf,8d329b58c7b553f,8d329b5888b4d3f,102,0.04020700636942675,88329b58ebfffff
8,194,20221017,194,194,181,17,1,0,1665991201,0,177,174.606619,45.868878,174.603815,45.878103,174.606405,45.870522,1665989421,1665989426,1665989697,1665990366,1665989946,1665989407,1665989388,2022-10-17 14:49:48,8d329b5856e643f,8d329b581ce327f,8d329b5856d523f,153,0.06050955414012739,88329b5857fffff
9,195,20221017,195,195,182,5,1,0,1665991465,0,178,174.553837,45.898317,174.561322,45.90621,174.552933,45.898274,1665989775,1665989784,1665990276,1665991100,1665990326,1665989666,1665989653,2022-10-17 14:54:13,8d329b588c6053f,8d329b5885a19bf,8d329b588c6113f,143,0.05652866242038217,88329b588dfffff
